Vendor,Annual Cost,Category,Classification,QB Section,Users/Licenses,Overlap With,Recommendation,Confidence,Department,Notes
Synnex Corp (Agreement Licenses),301812.59,Other,Service Delivery COGS,Agreement License Cost,Consolidated distributor bill,,KEEP — but request line-item invoices to verify,Needs Confirmation,Help Desk,"Consolidated 'Estimate' billing for managed-service software stack. No line-item detail. Monthly variance 44.5% ($20,947-$30,277). HIGH PRIORITY: needs ConnectWise reconciliation."
"ConnectWise, Inc.",89800.36,PSA/Ticketing,Service Delivery COGS,Computer and Internet Expenses,Company-wide (~38 users),,RECLASSIFY to COGS,Analysis,Help Desk,Primary PSA/RMM platform. Core service delivery infrastructure. Currently misclassified as SG&A.
Barracuda (Skout Cybersecurity),72959.88,Security/Compliance,Service Delivery COGS,Agreement License Cost,Per-client seats,,KEEP — but verify cost increase is billed to clients,Analysis,Help Desk,"Managed email security / EDR platform. Cost grew 87% in CY2025 ($3,996→$7,472/mo). $41,713/year run-rate increase. Confirm pass-through to clients."
Flexis,64009.0,RMM/Monitoring,Service Delivery COGS,Computer and Internet Expenses,NOC team,,RECLASSIFY to COGS,Owner Confirmed,Help Desk,NOC/Help Desk augmentation service. Owner confirmed COGS.
Microsoft (Rebates/Credits),-11482.46,Other,Service Delivery COGS,Agreement License Cost,N/A — rebates,,KEEP — rebate income,Analysis,Help Desk,Microsoft partner rebates/credits applied against Agreement License Cost. Negative amount reduces COGS.
Amazon Web Services (Agreement),10709.0,Other,Service Delivery COGS,Agreement License Cost,Client environments,,KEEP — client delivery,Owner Confirmed,Services,Client-specific AWS environments bundled in managed service agreements. Owner confirmed COGS.
Kaseya,10563.4,RMM/Monitoring,Service Delivery COGS,Computer and Internet Expenses,Help Desk team,ConnectWise (partial RMM overlap),RECLASSIFY to COGS; verify if Dark Web component was cancelled,Analysis,Help Desk,RMM/security management platform. Expense Tracker notes 'Oct goes away' for Dark Web component ($688.88/mo). Includes Dark Web and Security/Network Assessment.
Samurai Sync,9450.0,Other,Service Delivery COGS,Computer and Internet Expenses,Help Desk team,,RECLASSIFY to COGS,Owner Confirmed,Help Desk,Service delivery tool. Owner confirmed COGS.
Wasabi Technologies,7352.87,Backup/DR,Service Delivery COGS,Computer and Internet Expenses,Per-client storage,,RECLASSIFY to COGS,Analysis,Help Desk,Cloud backup storage for client data delivery.
MSP360,4005.11,Backup/DR,Service Delivery COGS,Computer and Internet Expenses,Help Desk team,,RECLASSIFY to COGS,Analysis,Help Desk,Backup management platform for client data protection delivery.
TimeZest,3609.34,PSA/Ticketing,Service Delivery COGS,Computer and Internet Expenses,Help Desk team,Calendy (scheduling overlap),RECLASSIFY to COGS; cancel Calendy (redundant),Analysis,Help Desk,ConnectWise scheduling integration for client appointments. Borderline COGS/SGA — classified as Service Delivery COGS given direct client interaction.
